user,deposited,picked_up,reserved,late,cancelled,extended
10000,1,4,0,1,0,0
10001,1,5,1,1,0,0
10002,0,3,1,1,0,0
10003,0,2,2,1,0,0
10004,0,1,0,0,0,0
10005,0,2,1,0,0,0
10006,0,0,0,0,0,0
10007,0,1,0,0,0,0
10008,0,0,0,0,0,0
10009,1,5,0,1,0,0
10010,0,0,2,0,0,0
10011,0,3,0,1,0,0
10012,1,8,0,3,0,0
10013,0,0,0,0,0,0
10014,0,3,0,1,0,0
10015,0,4,0,2,0,0
10016,0,0,1,0,0,0
10017,0,0,0,0,0,0
10018,0,0,0,0,0,0
10019,2,8,0,2,0,0
10020,0,4,0,2,0,0
10021,0,2,0,1,0,0
10022,2,11,0,3,0,0
10023,0,2,0,1,0,0
10024,1,4,0,1,0,0
10025,0,0,0,0,0,0
10026,0,0,1,0,0,0
10027,1,5,0,1,0,0
10028,1,4,1,1,0,0
10029,1,6,0,2,0,0
10030,0,0,0,0,0,0
10031,0,0,0,0,0,0
10032,0,0,0,0,0,0
10033,0,0,0,0,0,0
